Year,Month,Day,Hour,Minute,Second,KUM_META.rmm,KUM_META.wdir,KUM_META.pwd_rmm,KUM_META.t,KUM_META.rh,KUM_META.pwd_visibility_1,KUM_META.ws
2023,10,02,00,00,00,0,283.7,0,10.39333,75.53333,20000,2.87
2023,10,02,01,00,00,0,275.38333,0,10.28167,75.93333,20000,2.71167
2023,10,02,02,00,00,0.00067,263.73333,0,9.88833,77.8,20000,3.06167
2023,10,02,03,00,00,0,262.21667,0,9.56333,79.7,20000,2.72667
2023,10,02,04,00,00,0,259.11667,0,9.08,82.6,20000,2.75833
2023,10,02,05,00,00,0.00067,268.45,0,9.02667,83.98333,20000,2.5
2023,10,02,06,00,00,0,286.11667,0,9.13833,83.8,20000,3.13333
2023,10,02,07,00,00,0.00067,282.21667,0,9.125,83.7,20000,2.67333
2023,10,02,08,00,00,0.00133,284.76667,0,10.29333,78.03333,20000,1.82833
2023,10,02,09,00,00,0.00067,288.51667,0,11.76,71.25,20000,1.675
2023,10,02,10,00,00,0,274.33333,0,12.67833,66.48333,20000,1.81
2023,10,02,11,00,00,0,250.4,0,13.47,62.46667,20000,2.22667
2023,10,02,12,00,00,0,217.16667,0,13.63167,63.26667,20000,2.19333
2023,10,02,13,00,00,0,196.83333,0,14.12,62.83333,20000,2.41167
2023,10,02,14,00,00,0,200.36667,0,14.39,61.06667,20000,2.13667
2023,10,02,15,00,00,0,184.25,0,14.44833,65.4,19783.21667,1.81833
2023,10,02,16,00,00,0,187.61667,0,13.835,71.88333,20000,2.41167
2023,10,02,17,00,00,0.002,188.33333,0,13.75667,77.61667,20000,1.91167
2023,10,02,18,00,00,0.00133,205.13333,0.00034,13.73,77.88333,20000,3.01167
2023,10,02,19,00,00,0.002,200.8,0.00119,13.84833,77.41667,19241.38333,3.28167
2023,10,02,20,00,00,0.002,190.93333,0.0022,13.49,80.51667,19473.4,3.95
2023,10,02,21,00,00,0.05,190.28333,0.01051,13.01,85.25,13720.06667,3.50167
2023,10,02,22,00,00,0.22267,194.46667,0.04881,13.165,93.78333,11080.11667,3.745
2023,10,02,23,00,00,0.00333,235.13333,0,13.60333,94.11667,20000,2.94
2023,10,03,00,00,00,0.002,232.8,0,13.50167,92.08333,20000,2.79333
2023,10,03,01,00,00,0.00133,229.76667,0,13.36,92.4,20000,2.815
2023,10,03,02,00,00,0.002,242.03333,0,13.43333,91.46667,20000,3.375
2023,10,03,03,00,00,0.002,239.71667,0,13.32667,91.81667,20000,3.05
2023,10,03,04,00,00,0.00133,255.75,0,13.03333,91.81667,20000,3.19667
2023,10,03,05,00,00,0.00133,258.91667,0,12.72333,91.36667,20000,3.23333
2023,10,03,06,00,00,0.00267,254.46667,0,12.305,92.88333,20000,3.405
2023,10,03,07,00,00,0.00133,259.35,0,12.24,91.6,20000,3.565
2023,10,03,08,00,00,0.00133,264.41667,0,12.35333,89.75,20000,2.755
2023,10,03,09,00,00,0.00067,281.58333,0,12.44833,86.46667,20000,3.09333
2023,10,03,10,00,00,0,282.91667,0,12.61833,81.11667,20000,2.70667
2023,10,03,11,00,00,0.00067,280.16667,0,12.82,77.33333,20000,2.735
2023,10,03,12,00,00,0,268.25,0,13.34667,73.25,20000,2.80167
2023,10,03,13,00,00,0,271.63333,0,13.52833,71.83333,20000,2.79167
2023,10,03,14,00,00,0,281.85,0,13.94833,71.18333,20000,1.865
2023,10,03,15,00,00,0,211.2,0,13.48667,73.7,20000,0.67
2023,10,03,16,00,00,0,144.21667,0,13.085,78.85,20000,1.60167
2023,10,03,17,00,00,0.034,111.11667,0.00881,12.62667,84.18333,18441.78333,1.83333
2023,10,03,18,00,00,0.11733,111.25,0.02203,12.04667,91.85,16081.73333,2.585
2023,10,03,19,00,00,0.19067,104.03333,0.0439,11.61667,91.15,13281.93333,2.66833
2023,10,03,20,00,00,0.386,83.86667,0.07034,10.59167,90.4,8257.38333,3.96833
