Year,Month,Day,Hour,Minute,Second,KUM_META.rmm,KUM_META.wdir,KUM_META.pwd_rmm,KUM_META.t,KUM_META.rh,KUM_META.pwd_visibility_1,KUM_META.ws
2023,10,12,00,00,00,0,246.85,0,10.465,73.86667,20000,5.64833
2023,10,12,01,00,00,0.00067,247.26667,0,10.08167,73.1,20000,5.57333
2023,10,12,02,00,00,0,241.83333,0,9.80667,74.25,20000,5.615
2023,10,12,03,00,00,0.00067,241.51667,0,9.795,73.78333,20000,5.875
2023,10,12,04,00,00,0.00067,241.75,0,10.02333,70.75,20000,5.80333
2023,10,12,05,00,00,0.002,243.26667,0.00034,10.13333,70.46667,19964.3,6.58167
2023,10,12,06,00,00,0.002,237.11667,0,10.32667,68.23333,20000,6.46333
2023,10,12,07,00,00,0.20067,278.93333,0.03136,7.035,84.28333,13447.41667,7.185
2023,10,12,08,00,00,0.06133,265.1,0.00881,7.00333,86.28333,17448.86667,5.86167
2023,10,12,09,00,00,0.00067,259.73333,0,8.47333,79.05,20000,5.425
2023,10,12,10,00,00,0.00267,266.86667,0,8.98667,67.13333,20000,8.47167
2023,10,12,11,00,00,0.00133,267.41667,0,9.34333,63.65,19959.2,8.06167
2023,10,12,12,00,00,0.00267,274.76667,0.00051,8.69333,68.45,19962.43333,8.185
2023,10,12,13,00,00,0.00267,275.08333,0,8.47,73.38333,20000,7.60833
2023,10,12,14,00,00,0.00133,272.08333,0,8.8,70.65,20000,6.55667
2023,10,12,15,00,00,0.00067,268.33333,0,9.25333,64.4,20000,5.59
2023,10,12,16,00,00,0.00133,259.8,0,9.695,55.71667,20000,6.22333
2023,10,12,17,00,00,0,265.6,0,9.22667,52.95,20000,5.86333
2023,10,12,18,00,00,0,258.16667,0,8.64333,57.36667,20000,4.74667
2023,10,12,19,00,00,0,257.51667,0,8.035,62.48333,20000,3.655
2023,10,12,20,00,00,0,263.16667,0,7.635,66.26667,20000,4.105
2023,10,12,21,00,00,0,276.41667,0,7.04167,71.33333,20000,4.085
2023,10,12,22,00,00,0.00067,287.1,0,6.83,73.5,20000,5.08167
2023,10,12,23,00,00,0,287.76667,0,6.63667,76.31667,20000,5.11333
2023,10,13,00,00,00,0.00067,282.1,0,6.56833,78.18333,20000,4.845
2023,10,13,01,00,00,0.00067,278.91667,0,6.40833,80.25,20000,3.91167
2023,10,13,02,00,00,0.00067,268.33333,0,6.175,82.11667,20000,3.665
2023,10,13,03,00,00,0,256.23333,0,6.065,83.68333,20000,3.60667
2023,10,13,04,00,00,0,257.83333,0,5.73833,85.61667,20000,3.03833
2023,10,13,05,00,00,0,271.05,0,5.46,87.28333,20000,3.49667
2023,10,13,06,00,00,0.00067,271.11667,0,5.58667,86.85,20000,3.33833
2023,10,13,07,00,00,0.00067,257.13333,0,6.12833,84.48333,20000,3.82
2023,10,13,08,00,00,0,260.95,0,6.83333,81.75,20000,3.80833
2023,10,13,09,00,00,0.00067,266.85,0,8.32833,76.56667,20000,3.21167
2023,10,13,10,00,00,0,255.38333,0,9.60833,71.56667,20000,3.615
2023,10,13,11,00,00,0.00067,253.93333,0,10.48667,66.05,20000,3.18167
2023,10,13,12,00,00,0,225.7,0,11.645,58.58333,20000,3.64
2023,10,13,13,00,00,0,221.05,0,11.92833,60.56667,20000,4.16
